year,month,carrier,carrier_name,airport,state,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2020,2,9E,Endeavor Air Inc.,ABE,PA,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",42,7,1.71,0.14,0.06,0,5.08,0,0,602,164,30,10,0,398
2020,2,9E,Endeavor Air Inc.,AEX,LA,"Alexandria, LA: Alexandria International",104,18,6.64,0.05,2.74,0,8.56,0,2,1651,491,6,238,0,916
2020,2,9E,Endeavor Air Inc.,AGS,GA,"Augusta, GA: Augusta Regional at Bush Field",168,27,8.28,0.18,4.32,0,14.22,1,0,1777,364,16,236,0,1161
2020,2,9E,Endeavor Air Inc.,ATL,GA,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3365,581,88.22,23.66,174.41,0,294.71,8,13,49533,10790,2786,9282,0,26675
2020,2,9E,Endeavor Air Inc.,ATW,WI,"Appleton, WI: Appleton International",55,6,2.92,0.11,1.96,0,1.01,0,0,394,186,12,98,0,98
2020,2,9E,Endeavor Air Inc.,AUS,TX,"Austin, TX: Austin - Bergstrom International",40,8,3.2,1.2,2.51,0,1.09,0,0,436,118,61,95,0,162
2020,2,9E,Endeavor Air Inc.,AVL,NC,"Asheville, NC: Asheville Regional",156,30,11.95,2.77,5.29,0,9.99,0,3,1612,461,233,223,0,695
2020,2,9E,Endeavor Air Inc.,AZO,MI,"Kalamazoo, MI: Kalamazoo/Battle Creek International",28,10,1.72,1.95,2.24,0,4.09,0,0,1137,88,737,85,0,227
2020,2,9E,Endeavor Air Inc.,BDL,CT,"Hartford, CT: Bradley International",160,18,7.11,1.26,1.96,0,7.67,0,1,916,235,162,146,0,373
2020,2,9E,Endeavor Air Inc.,BGR,ME,"Bangor, ME: Bangor International",80,12,3.25,0,1.02,0,7.73,1,0,929,277,0,54,0,598
2020,2,9E,Endeavor Air Inc.,BIS,ND,"Bismarck/Mandan, ND: Bismarck Municipal",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,2,9E,Endeavor Air Inc.,BMI,IL,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",80,10,4.17,0,3.37,0,2.45,0,0,445,169,0,124,0,152
2020,2,9E,Endeavor Air Inc.,BNA,TN,"Nashville, TN: Nashville International",220,36,11,1.66,8.92,0,14.42,1,1,2497,1206,128,351,0,812
2020,2,9E,Endeavor Air Inc.,BOS,MA,"Boston, MA: Logan International",224,29,5.86,0.11,12.38,0,10.64,0,0,1935,325,8,824,0,778
2020,2,9E,Endeavor Air Inc.,BTR,LA,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",158,26,12.72,0.13,3.99,0,9.15,1,0,2472,1063,19,268,0,1122
2020,2,9E,Endeavor Air Inc.,BTV,VT,"Burlington, VT: Burlington International",209,24,7.31,1.02,5.51,0,10.16,8,1,2026,455,53,708,0,810
2020,2,9E,Endeavor Air Inc.,BUF,NY,"Buffalo, NY: Buffalo Niagara International",310,34,6.97,1.11,2.85,0,23.06,2,0,2361,493,55,127,0,1686
2020,2,9E,Endeavor Air Inc.,BWI,MD,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",225,28,5.32,1.31,8.25,0,13.11,0,0,1595,417,69,512,0,597
2020,2,9E,Endeavor Air Inc.,CAE,SC,"Columbia, SC: Columbia Metropolitan",96,11,2.61,0.74,2.09,0,5.56,1,0,382,143,17,48,0,174
2020,2,9E,Endeavor Air Inc.,CAK,OH,"Akron, OH: Akron-Canton Regional",38,8,2.67,0.12,1.05,0,4.16,0,0,486,175,13,26,0,272
2020,2,9E,Endeavor Air Inc.,CHA,TN,"Chattanooga, TN: Lovell Field",226,42,11.44,0.81,16.02,0,13.73,1,0,2030,468,55,605,0,902
2020,2,9E,Endeavor Air Inc.,CHO,VA,"Charlottesville, VA: Charlottesville Albemarle",169,30,7.95,0.69,5.63,0,15.73,1,0,2489,402,352,257,0,1478
2020,2,9E,Endeavor Air Inc.,CHS,SC,"Charleston, SC: Charleston AFB/International",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,2,9E,Endeavor Air Inc.,CID,IA,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",85,10,4.68,0,3.28,0,2.05,0,0,556,345,0,100,0,111
2020,2,9E,Endeavor Air Inc.,CLE,OH,"Cleveland, OH: Cleveland-Hopkins International",351,44,13.69,1.54,12.13,0,16.65,0,1,2863,880,162,457,0,1364
2020,2,9E,Endeavor Air Inc.,CLT,NC,"Charlotte, NC: Charlotte Douglas International",171,34,6.57,0.93,14.64,0,11.87,3,2,2690,610,154,716,0,1210
2020,2,9E,Endeavor Air Inc.,CMH,OH,"Columbus, OH: John Glenn Columbus International",61,13,5.34,1,3.12,0,3.54,0,0,589,305,19,103,0,162
2020,2,9E,Endeavor Air Inc.,CRW,WV,"Charleston/Dunbar, WV: Yeager",29,3,0.54,0.27,0,0,2.19,0,0,236,20,26,0,0,190
2020,2,9E,Endeavor Air Inc.,CVG,OH,"Cincinnati, OH: Cincinnati/Northern Kentucky International",1059,173,31.36,3.06,32.32,0,106.27,1,0,13360,2576,364,1745,0,8675
2020,2,9E,Endeavor Air Inc.,CWA,WI,"Mosinee, WI: Central Wisconsin",105,18,5.18,1.87,5.56,0,5.39,0,1,1984,265,866,155,0,698
2020,2,9E,Endeavor Air Inc.,DAY,OH,"Dayton, OH: James M Cox/Dayton International",149,22,9.25,1.66,9,0,2.09,0,0,1167,480,232,329,0,126
2020,2,9E,Endeavor Air Inc.,DCA,DC,"Washington, DC: Ronald Reagan Washington National",169,26,5.97,0.29,13.83,0,5.91,0,2,1444,224,28,942,0,250
2020,2,9E,Endeavor Air Inc.,DFW,TX,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",88,22,3.18,0.78,13.12,0,4.92,0,1,929,131,24,581,0,193
2020,2,9E,Endeavor Air Inc.,DSM,IA,"Des Moines, IA: Des Moines International",230,32,9.34,0,13.35,0,9.31,0,0,1801,719,0,534,0,548
2020,2,9E,Endeavor Air Inc.,DTW,MI,"Detroit, MI: Detroit Metro Wayne County",1778,216,39.08,6.23,62.13,0,108.57,3,0,15193,4318,786,2594,0,7495
2020,2,9E,Endeavor Air Inc.,EVV,IN,"Evansville, IN: Evansville Regional",153,22,6.25,0.47,9.57,0,5.71,0,0,1317,494,16,363,0,444
2020,2,9E,Endeavor Air Inc.,EWN,NC,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",51,10,4.68,1,0.89,0,3.44,0,0,494,231,29,46,0,188
2020,2,9E,Endeavor Air Inc.,EWR,NJ,"Newark, NJ: Newark Liberty International",155,39,5.38,1.33,18.37,0,13.93,0,0,3692,766,74,1515,0,1337
2020,2,9E,Endeavor Air Inc.,EYW,FL,"Key West, FL: Key West International",29,5,1.64,1.15,0.33,0,1.88,0,0,968,253,109,72,0,534
2020,2,9E,Endeavor Air Inc.,FNT,MI,"Flint, MI: Bishop International",39,4,2,0.08,1,0,0.92,0,0,234,155,2,53,0,24
2020,2,9E,Endeavor Air Inc.,GNV,FL,"Gainesville, FL: Gainesville Regional",121,32,9.76,1.78,5.96,0,14.49,0,0,2683,544,339,314,0,1486
2020,2,9E,Endeavor Air Inc.,GPT,MS,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",105,17,5.35,0.57,4.32,0,6.76,0,1,1116,418,28,267,0,403
2020,2,9E,Endeavor Air Inc.,GRB,WI,"Green Bay, WI: Green Bay Austin Straubel International",24,1,0,0,1,0,0,0,0,55,0,0,55,0,0
2020,2,9E,Endeavor Air Inc.,GRR,MI,"Grand Rapids, MI: Gerald R. Ford International",57,16,5.27,1,4.59,0,5.14,0,0,1077,279,56,202,0,540
2020,2,9E,Endeavor Air Inc.,GSO,NC,"Greensboro/High Point, NC: Piedmont Triad International",87,11,2.39,0,3.49,0,5.12,0,0,808,228,0,161,0,419
2020,2,9E,Endeavor Air Inc.,GSP,SC,"Greer, SC: Greenville-Spartanburg International",138,37,14.08,4.32,8.09,0,10.51,1,0,2690,885,403,405,0,997
2020,2,9E,Endeavor Air Inc.,HPN,NY,"White Plains, NY: Westchester County",97,16,6.58,1.66,3.21,0,4.55,0,1,946,218,169,88,0,471
